"","text","lang","listed_count","geo_enabled","statuses_count","followers_count","favourites_count","friends_count","time_zone","country_code","full_name","place_lat","place_lon"
"NA.275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","@mrjaxtaylor @FriendsTV What about Mona? Ugh.","en",11,TRUE,4199,554,2085,2052,"Quito","US","Manhattan, NY",40.780709,-73.9685415
"NA.294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","no christmas wish list item will ever top the ‚Äúbody bag with a sparkly pink cat on the front‚Äù in which the child me‚Ä¶ https://t.co/xuQ5loRLay","en",0,TRUE,344,19,424,48,NA,"US","Opelousas, LA",30.5286,-92.101762
"NA.326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","@jay_or_joel Still a significant problem. How are safeties supposed to stop plays if they cant break up the pass with their hands?","en",89,TRUE,77934,2993,1034,513,"Quito","US","Manhattan, NY",40.780709,-73.9685415
"NA.359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Bulls about to trade NikolaÌ†æÌ¥¶Ì†ºÌøæ‚Äç‚ôÇÔ∏è https://t.co/ticUzrPAEl","en",3,TRUE,17934,210,12540,121,NA,"US","Brooklyn, NY",40.655138,-73.9487755
"NA.390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","I‚Äôm ready to go see my family so when can Watch Christmas Ì†ºÌæÑ movies in our PJ‚Äôs under the fireplace Ì†ΩÌ¥• while drinking‚Ä¶ https://t.co/u683Tvetl7","en",0,TRUE,434,247,756,920,NA,"US","Memphis, TN",35.1335205,-89.922029
"NA.450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","@SportsTweet89 Yo I‚Äôll do whatever you want if I get another beer man","en",38,TRUE,66986,1730,3817,2148,"Quito","US","Manhattan, NY",40.780709,-73.9685415
"511","Sounds like he leads a really happy life. https://t.co/Qkal1zGrHI","en",16,TRUE,10427,213,10003,588,"Quito","US","Wesley Chapel, NC",34.9956215,-80.676074
"NA.455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","The #inca are already poised for it... already in position.","en",712,TRUE,135466,3369,10926,1881,"Eastern Time (US & Canada)","US","Manhattan, NY",40.780709,-73.9685415
"NA.466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","omg best album ever:  https://t.co/u2zKUjU6QB  I don‚Äôt know bout all that but check it out!","en",6,TRUE,3871,439,270,1255,"Eastern Time (US & Canada)","US","East Highland Park, VA",37.5809385,-77.374808
"NA.475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","Learned so much about art today that I nearly burnt out half way through the day. What an incredible feeling, though.","en",1560,TRUE,32113,44696,13304,1019,"Central Time (US & Canada)","US","Queens, NY",40.6708795,-73.8311875
"NA.478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","im smacked twitter","en",20,TRUE,21969,498,13369,240,NA,"US","Brooklyn, NY",40.655138,-73.9487755
"555","Excellent thread. Follow @AriDavidPaul if you're interested in the DLT space. https://t.co/OiYgI1QfUD","en",63,TRUE,3079,2248,3063,599,"Central Time (US & Canada)","US","Manhattan, NY",40.780709,-73.9685415
"NA.487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","when you catch the source of the bumass rumor. yup i definitely see you. now that i know who you are you won‚Äôt ever hear from me again.","en",11,TRUE,58548,545,1638,383,"Eastern Time (US & Canada)","US","Manhattan, NY",40.780709,-73.9685415
"NA.494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","You are going to HELL!!!@POTUS","en",0,TRUE,165,4,24,26,NA,"US","New York, USA",42.746617,-75.770041
"NA.534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","nyc bound ft starbucks https://t.co/xLF0NA3RDq","en",1,TRUE,5269,161,13415,74,"Eastern Time (US & Canada)","US","Manhattan, NY",40.780709,-73.9685415
"617","Light up Madison #happychanukah #lightupmadison #lights #christmastree #empirestatebuilding‚Ä¶ https://t.co/bsnskz5srj","en",5,TRUE,721,146,1735,1087,"Eastern Time (US & Canada)","US","Manhattan, NY",40.780709,-73.9685415
"NA.541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
